titolo,generazione,criterio,luogo,dex,specie,condizione
"Nero 2",5,tipo di casella,,271,Lombre,"grotta nascosta"
"Nero 2",5,tipo di casella,,277,Swellow,"sciame"
"Nero 2",5,tipo di casella,,284,Masquerain,"sciame"
"Nero 2",5,tipo di casella,,286,Breloom,"grotta nascosta"
"Nero 2",5,tipo di casella,,297,Hariyama,"grotta nascosta"
"Nero 2",5,tipo di casella,,308,Medicham,"grotta nascosta"
"Nero 2",5,tipo di casella,,310,Manectric,"grotta nascosta"
"Nero 2",5,tipo di casella,,311,Plusle,"sciame"
"Nero 2",5,tipo di casella,,313,Volbeat,"sciame"
"Nero 2",5,tipo di casella,,317,Swalot,"sciame"
"Nero 2",5,tipo di casella,,332,Cacturne,"sciame"
"Nero 2",5,tipo di casella,,371,Bagon,"grotta nascosta"
"Nero 2",5,tipo di casella,,372,Shelgon,"grotta nascosta"
"Nero 2",5,tipo di casella,,400,Bibarel,"grotta nascosta"
"Nero 2",5,tipo di casella,,417,Pachirisu,"grotta nascosta"
"Nero 2",5,tipo di casella,,425,Drifloon,"grotta nascosta"
"Nero 2",5,tipo di casella,,431,Glameow,"grotta nascosta"
"Nero 2",5,tipo di casella,,434,Stunky,"grotta nascosta"
"Nero 2",5,tipo di casella,,441,Chatot,"grotta nascosta"
"Nero 2",5,tipo di casella,,450,Hippowdon,"sciame"
"Nero 2",5,tipo di casella,,470,Leafeon,"grotta nascosta"
"Nero 2",5,tipo di casella,,471,Glaceon,"grotta nascosta"
"Nero 2",5,luogo dedicato,65,580,Ducklett,
"Nero 2",5,luogo dedicato,68,581,Swanna,
"Nero 2",5,area monospecie,14,83,Farfetch’d,"tipo 4, sciame"
"Nero 2",5,area monospecie,16,313,Volbeat,"tipo 4, sciame"
"Nero 2",5,area monospecie,18,177,Natu,"tipo 4, sciame"
"Nero 2",5,area monospecie,19,311,Plusle,"tipo 4, sciame"
"Nero 2",5,area monospecie,20,162,Furret,"tipo 4, sciame"
"Nero 2",5,area monospecie,21,195,Quagsire,"tipo 4, sciame"
"Nero 2",5,area monospecie,22,317,Swalot,"tipo 4, sciame"
"Nero 2",5,area monospecie,24,284,Masquerain,"tipo 4, sciame"
"Nero 2",5,area monospecie,25,84,Doduo,"tipo 4, sciame"
"Nero 2",5,area monospecie,26,277,Swellow,"tipo 4, sciame"
"Nero 2",5,area monospecie,28,22,Fearow,"tipo 4, sciame"
"Nero 2",5,area monospecie,29,204,Pineco,"tipo 4, sciame"
"Nero 2",5,area monospecie,31,187,Hoppip,"tipo 4, sciame"
"Nero 2",5,area monospecie,32,97,Hypno,"tipo 4, sciame"
"Nero 2",5,area monospecie,34,450,Hippowdon,"tipo 4, sciame"
"Nero 2",5,area monospecie,35,343,Baltoy,"tipo 1, ordinaria"
"Nero 2",5,area monospecie,65,580,Ducklett,"tipo 1, ordinaria"
"Nero 2",5,area monospecie,68,581,Swanna,"tipo 1, ordinaria"
"Nero 2",5,area monospecie,70,79,Slowpoke,"tipo 4, sciame"
"Nero 2",5,area monospecie,125,185,Sudowoodo,"tipo 4, sciame"
"Nero 2",5,area monospecie,127,168,Ariados,"tipo 4, sciame"
"Nero 2",5,area monospecie,132,332,Cacturne,"tipo 4, sciame"
"Bianco 2",5,tipo di casella,,12,Butterfree,"grotta nascosta"
"Bianco 2",5,tipo di casella,,22,Fearow,"sciame"
"Bianco 2",5,tipo di casella,,29,Nidoran♀,"grotta nascosta"
"Bianco 2",5,tipo di casella,,32,Nidoran♂,"grotta nascosta"
"Bianco 2",5,tipo di casella,,48,Venonat,"grotta nascosta"
"Bianco 2",5,tipo di casella,,79,Slowpoke,"sciame"
"Bianco 2",5,tipo di casella,,83,Farfetch’d,"sciame"
"Bianco 2",5,tipo di casella,,84,Doduo,"sciame"
"Bianco 2",5,tipo di casella,,97,Hypno,"sciame"
"Bianco 2",5,tipo di casella,,113,Chansey,"grotta nascosta"
"Bianco 2",5,tipo di casella,,122,Mr. Mime,"sciame"
"Bianco 2",5,tipo di casella,,134,Vaporeon,"grotta nascosta"
"Bianco 2",5,tipo di casella,,135,Jolteon,"grotta nascosta"
"Bianco 2",5,tipo di casella,,136,Flareon,"grotta nascosta"
"Bianco 2",5,tipo di casella,,162,Furret,"sciame"
"Bianco 2",5,tipo di casella,,166,Ledian,"sciame"
"Bianco 2",5,tipo di casella,,176,Togetic,"grotta nascosta"
"Bianco 2",5,tipo di casella,,177,Natu,"sciame"
"Bianco 2",5,tipo di casella,,187,Hoppip,"sciame"
"Bianco 2",5,tipo di casella,,195,Quagsire,"sciame"
"Bianco 2",5,tipo di casella,,196,Espeon,"grotta nascosta"
"Bianco 2",5,tipo di casella,,197,Umbreon,"grotta nascosta"
"Bianco 2",5,tipo di casella,,198,Murkrow,"grotta nascosta"
"Bianco 2",5,tipo di casella,,204,Pineco,"sciame"
"Bianco 2",5,tipo di casella,,210,Granbull,"grotta nascosta"
"Bianco 2",5,tipo di casella,,214,Heracross,"grotta nascosta"
"Bianco 2",5,tipo di casella,,271,Lombre,"grotta nascosta"
"Bianco 2",5,tipo di casella,,277,Swellow,"sciame"
"Bianco 2",5,tipo di casella,,284,Masquerain,"sciame"
"Bianco 2",5,tipo di casella,,286,Breloom,"grotta nascosta"
"Bianco 2",5,tipo di casella,,297,Hariyama,"grotta nascosta"
"Bianco 2",5,tipo di casella,,308,Medicham,"grotta nascosta"
"Bianco 2",5,tipo di casella,,310,Manectric,"grotta nascosta"
"Bianco 2",5,tipo di casella,,312,Minun,"sciame"
"Bianco 2",5,tipo di casella,,314,Illumise,"sciame"
"Bianco 2",5,tipo di casella,,317,Swalot,"sciame"
"Bianco 2",5,tipo di casella,,332,Cacturne,"sciame"
"Bianco 2",5,tipo di casella,,371,Bagon,"grotta nascosta"
"Bianco 2",5,tipo di casella,,372,Shelgon,"grotta nascosta"
"Bianco 2",5,tipo di casella,,400,Bibarel,"grotta nascosta"
"Bianco 2",5,tipo di casella,,417,Pachirisu,"grotta nascosta"
"Bianco 2",5,tipo di casella,,425,Drifloon,"grotta nascosta"
"Bianco 2",5,tipo di casella,,431,Glameow,"grotta nascosta"
"Bianco 2",5,tipo di casella,,434,Stunky,"grotta nascosta"
"Bianco 2",5,tipo di casella,,441,Chatot,"grotta nascosta"
"Bianco 2",5,tipo di casella,,450,Hippowdon,"sciame"
"Bianco 2",5,tipo di casella,,470,Leafeon,"grotta nascosta"
"Bianco 2",5,tipo di casella,,471,Glaceon,"grotta nascosta"
"Bianco 2",5,luogo dedicato,65,580,Ducklett,
"Bianco 2",5,luogo dedicato,68,581,Swanna,
"Bianco 2",5,area monospecie,14,83,Farfetch’d,"tipo 4, sciame"
"Bianco 2",5,area monospecie,16,314,Illumise,"tipo 4, sciame"
"Bianco 2",5,area monospecie,18,177,Natu,"tipo 4, sciame"
"Bianco 2",5,area monospecie,19,312,Minun,"tipo 4, sciame"
"Bianco 2",5,area monospecie,20,162,Furret,"tipo 4, sciame"
"Bianco 2",5,area monospecie,21,195,Quagsire,"tipo 4, sciame"
"Bianco 2",5,area monospecie,22,317,Swalot,"tipo 4, sciame"
"Bianco 2",5,area monospecie,24,284,Masquerain,"tipo 4, sciame"
"Bianco 2",5,area monospecie,25,84,Doduo,"tipo 4, sciame"
"Bianco 2",5,area monospecie,26,277,Swellow,"tipo 4, sciame"
"Bianco 2",5,area monospecie,28,22,Fearow,"tipo 4, sciame"
"Bianco 2",5,area monospecie,29,204,Pineco,"tipo 4, sciame"
"Bianco 2",5,area monospecie,31,187,Hoppip,"tipo 4, sciame"
"Bianco 2",5,area monospecie,32,97,Hypno,"tipo 4, sciame"
"Bianco 2",5,area monospecie,34,450,Hippowdon,"tipo 4, sciame"
"Bianco 2",5,area monospecie,35,343,Baltoy,"tipo 1, ordinaria"
"Bianco 2",5,area monospecie,65,580,Ducklett,"tipo 1, ordinaria"
"Bianco 2",5,area monospecie,68,581,Swanna,"tipo 1, ordinaria"
"Bianco 2",5,area monospecie,70,79,Slowpoke,"tipo 4, sciame"
"Bianco 2",5,area monospecie,125,122,Mr. Mime,"tipo 4, sciame"
"Bianco 2",5,area monospecie,127,166,Ledian,"tipo 4, sciame"
"Bianco 2",5,area monospecie,132,332,Cacturne,"tipo 4, sciame"
